year,month,medication_name,consumed,month_num
2025,9,Amlodipine 5mg,603.0,1
2025,9,Amoxicillin 500mg,365.0,1
2025,9,Azithromycin 500mg,42.0,1
2025,9,Bromhexine 8mg,260.0,1
2025,9,Cetirizine 10mg,1902.0,1
2025,9,Chlorpheniramine 4mg,660.0,1
2025,9,Dextromethorphan Syrup,96.0,1
2025,9,Diphenoxylate 2.5mg,440.0,1
2025,9,Domperidone 10mg,350.0,1
2025,9,Erythromycin 400mg,130.0,1
2025,9,Fluconazole 10mg,570.0,1
2025,9,Ibuprofen 400mg,1451.0,1
2025,9,Metformin 500mg,102.0,1
2025,9,ORS (Oral Rehydration Salts),260.0,1
2025,9,Omeprazole 20mg,33.0,1
2025,9,Paracetamol 500mg,6056.0,1
2025,9,Prednisolone 5mg,470.0,1
2025,9,Salbutamol 2mg,6.0,1
2025,10,Amlodipine 5mg,357.0,2
2025,10,Amoxicillin 500mg,910.0,2
2025,10,Azithromycin 500mg,40.0,2
2025,10,Bromhexine 8mg,291.0,2
2025,10,Cetirizine 10mg,2722.0,2
2025,10,Chlorpheniramine 4mg,500.0,2
2025,10,Dextromethorphan Syrup,134.0,2
2025,10,Diphenoxylate 2.5mg,500.0,2
2025,10,Domperidone 10mg,360.0,2
2025,10,Erythromycin 400mg,194.0,2
2025,10,Fluconazole 10mg,530.0,2
2025,10,Ibuprofen 400mg,1257.0,2
2025,10,Metformin 500mg,26.0,2
2025,10,ORS (Oral Rehydration Salts),304.0,2
2025,10,Omeprazole 20mg,14.0,2
2025,10,Paracetamol 500mg,7581.0,2
2025,10,Prednisolone 5mg,362.0,2
2025,10,Salbutamol 2mg,5.0,2
2025,11,Amlodipine 5mg,850.0,3
2025,11,Amoxicillin 500mg,556.0,3
2025,11,Azithromycin 500mg,30.0,3
2025,11,Bromhexine 8mg,270.0,3
2025,11,Cetirizine 10mg,2538.0,3
2025,11,Chlorpheniramine 4mg,420.0,3
2025,11,Dextromethorphan Syrup,146.0,3
2025,11,Diphenoxylate 2.5mg,640.0,3
2025,11,Domperidone 10mg,353.0,3
2025,11,Erythromycin 400mg,310.0,3
2025,11,Fluconazole 10mg,690.0,3
2025,11,Ibuprofen 400mg,1370.0,3
2025,11,Metformin 500mg,2.0,3
2025,11,ORS (Oral Rehydration Salts),360.0,3
2025,11,Omeprazole 20mg,58.0,3
2025,11,Paracetamol 500mg,6224.0,3
2025,11,Prednisolone 5mg,381.0,3
2025,11,Salbutamol 2mg,1.0,3
2025,12,Amlodipine 5mg,878.0,4
2025,12,Amoxicillin 500mg,700.0,4
2025,12,Azithromycin 500mg,51.0,4
2025,12,Bromhexine 8mg,320.0,4
2025,12,Cetirizine 10mg,2554.0,4
2025,12,Chlorpheniramine 4mg,500.0,4
